Congress,date_range
1st,"Mar 4, 1789â€“Mar 3, 1791"
2nd,"Mar 4, 1791 - Mar 2, 1793"
3rd,"Mar 4, 1793- Mar 3, 1795"
4th,"Jun 8, 1795 - Mar 3, 1797"
5th,"Mar 4, 1797- Mar 3, 1799"
6th,"Dec 2, 1799 - Mar 3, 1801"
7th,"Mar 4, 1801 - Mar 3, 1803"
8th,"Oct 17, 1803 - Mar 3, 1805"
9th,"Dec 2, 1805 - Mar 3, 1807"
10th,"Oct 26, 1807 - Mar 3, 1809"
11th,"Mar 4, 1809 - Mar 3, 1811"
12th,"Nov 4, 1811 - Mar 3, 1813"
13th,"May 24, 1813 - Mar 3, 1815"
14th,"Dec 4, 1815 - Mar 3, 1817"
15th,"Mar 4, 1817 - Mar 3, 1819"
16th,"Dec 6, 1819 - Mar 3, 1821"
17th,"Dec 3, 1821 - Mar 3, 1823"
18th,"Dec 1, 1823 - Mar 3, 1825"
19th,"Mar 4, 1825 - Mar 3, 1827"
20th,"Dec 3, 1827 - Mar 3, 1829"
21st,"Mar 4, 1829 - Mar 3, 1831"
22nd,"Dec 5, 1831 - Mar 2, 1833"
23rd,"Dec 2, 1833 - Mar 3, 1835"
24th,"Dec 7, 1835 - Mar 3, 1837"
25th,"Mar 4, 1837 - Mar 3, 1839"
26th,"Dec 2, 1839 - Mar 3, 1841"
27th,"Mar 4, 1841 - Mar 3, 1843"
28th,"Dec 4, 1843 - Mar 3, 1845"
29th,"Mar 4, 1845 - Mar 3, 1847"
30th,"Dec 6, 1847 - Mar 3, 1849"
31st,"Mar 5, 1849 - Mar 3, 1851"
32nd,"Mar 4, 1851 - Mar 3, 1853"
33rd,"Mar 4, 1853 - Mar 3, 1855"
34th,"Dec 3, 1855 - Mar 3, 1857"
35th,"Mar 4, 1857 - Mar 3, 1859"
36th,"Mar 4, 1859 - Mar 3, 1861"
37th,"Mar 4, 1861 - Mar 3, 1863"
38th,"Mar 4, 1863 - Mar 3, 1865"
39th,"Mar 4, 1865 - Mar 3, 1867"
40th,"Mar 4, 1867 - Mar 3, 1869"
41st,"Mar 4, 1869 - Mar 3, 1871"
42nd,"Mar 4, 1871 - Mar 3, 1873"
43rd,"Mar 4, 1873 - Mar 3, 1875"
44th,"Mar 5, 1875 - Mar 3, 1877"
45th,"Mar 5, 1877 - Mar 3, 1879"
46th,"Mar 18, 1879 - Mar 3, 1881"
47th,"Mar 4, 1881 - Mar 3, 1883"
48th,"Dec 3, 1883 - Mar 3, 1885"
49th,"Mar 4, 1885 - Mar 3, 1887"
50th,"Dec 5, 1887 - Mar 3, 1889"
51st,"Mar 4, 1889 - Mar 3, 1891"
52nd,"Dec 7, 1891 - Mar 3, 1893"
53rd,"Mar 4, 1893 - Mar 3, 1895"
54th,"Dec 2, 1895 - Mar 3, 1897"
55th,"Mar 4, 1897 - Mar 3, 1899"
56th,"Dec 4, 1899 - Mar 3, 1901"
57th,"Mar 4, 1901 - Mar 3, 1903"
58th,"Mar 5, 1903 - Mar 3, 1905"
59th,"Mar 4, 1905 - Mar 3, 1907"
60th,"Dec 2, 1907 - Mar 3, 1909"
61st,"Mar 4, 1909 - Mar 3, 1911"
62nd,"Apr 4, 1911 - Mar 3, 1913"
63rd,"Mar 4, 1913 - Mar 3, 1915"
64th,"Dec 6, 1915 - Mar 3, 1917"
65th,"Mar 5, 1917 - Mar 3, 1919"
66th,"Mar 19, 1919 - Mar 3, 1921"
67th,"Mar 4, 1921 - Mar 3, 1923"
68th,"Dec 3, 1923 - Mar 3, 1925"
69th,"Mar 4, 1925 - Mar 4, 1927"
70th,"Dec 5, 1927 - Mar 3, 1929"
71st,"Mar 4, 1929 - Mar 3, 1931"
72nd,"Dec 7, 1931 - Mar 3, 1933"
73rd,"Mar 4, 1933 - Jun 18, 1934"
74th,1935-1936
75th,1937-1938
76th,1939-1940
77th,1941-1942
78th,1943-1944
79th,1945-1946
80th,1947-1948
81st,1949-1950
82nd,1951-1952
83rd,1953-1954
84th,1955-1956
85th,1957-1958
86th,1959-1960
87th,1961-1962
88th,1963-1964
89th,1965-1966
90th,1967-1968
91st,1969-1970
92nd,1971-1972
93rd,1973-1974
94th,1975-1976
95th,1977-1978
96th,1979-1980
97th,1981-1982
98th,1983-1984
99th,1985-1986
100th,1987-1988
101st,1989-1990
102nd,1991-1992
103rd,1993-1994
104th,1995-1996
105th,1997-1998
106th,1999-2000
107th,2001-2002
108th,2003-2004
109th,2005-2006
110th,2007-2008
111st,2009-2010
112nd,2011-2012
113rd,2013-2014
114th,2015-2016
115th,2017-2018
116th,2019-2020
117th,2021-2022